UUID,No. of Colors,PIE Time,VCPackCol Time,Maarouf Time,Packing Colorable[Y/N]
d91ec67e-3ff3-42e2-97a5-8f31afd9b6a4,2,114.581028223038,0.090401649475098,0.050144672393799,N
37a2809a-85c2-48fb-8d82-7decc42f3798,2,124.266011714935,0.089242219924927,0.057482957839966,N
78fe238d-8c6e-4ebb-aaa4-8c5742dc7e52,2,116.898641347885,0.060979604721069,0.06081223487854,N
008e2908-2612-4da6-a38f-66e18c011794,2,121.627835273743,0.089629888534546,0.072129011154175,N
83631d68-5f9a-4e9b-8fed-2e46e10b31ad,2,122.992536783218,0.069678068161011,0.043530941009522,N
f37854b5-b1da-4b14-8842-916c679a6adf,2,125.847785234451,0.110665321350098,0.059725761413574,N
499a7f95-26bf-47b8-a756-c8dc90efe74a,2,115.702444314957,0.10588550567627,0.048683166503906,N
25ebd87d-2406-4ccb-b033-40a8301d86d9,2,122.13097858429,0.111438512802124,0.050705909729004,N
dcf4fa71-0233-4b73-a769-f22c03bfb15a,2,132.555369615555,0.098412036895752,0.055063009262085,N
6c03a19a-8892-4acc-97c7-941996ca0a68,2,112.131026268005,0.092961072921753,0.060379981994629,N
--,--,--,--,--,--
--,--,--,--,--,--
4f5c781a-7603-4b0e-957f-a966d539afc7,3,1.35099697113037,0.062445878982544,0.057784080505371,Y
662d86a8-bf50-4e2e-8c54-ee9f09129be5,3,1.36626315116882,0.032435655593872,0.082796096801758,Y
9c13fa9f-9fa5-46a2-9c57-6736782f7fed,3,1.37033247947693,0.032776355743408,0.082973480224609,Y
75a02fa3-6465-400c-a6d8-6f5d2181db54,3,1.3018479347229,0.032616376876831,0.055580854415894,Y
2f3f12ca-4ecb-4cb3-be4c-1cc745482a3f,3,1.33771634101868,0.033310413360596,0.051325798034668,Y
12a1823a-8445-4f36-817e-f50453f8bb8c,3,1.36635494232178,0.031894683837891,0.053116083145142,Y
bc9a972f-4901-4708-80fd-0d614a794dce,3,1.32523679733276,0.03132438659668,0.048897981643677,Y
c461dada-bee2-4fa8-881d-f6b8b3e7788a,3,1.36085820198059,0.033318519592285,0.054754257202149,Y
2052dd63-c815-440a-81af-b18ab830e717,3,1.33170199394226,0.033312320709229,0.057621240615845,Y
9e55ebbd-1d73-4c8a-a97b-808bbb3cd71e,3,1.31757974624634,0.03318190574646,0.056243896484375,Y
e108b836-5d6d-41f4-93ae-1ade632d2ac4,3,4.02377533912659,0.073666572570801,0.077351093292236,Y
29980f31-fee3-47c9-8304-b8a1386e95aa,3,4.39073181152344,0.044072151184082,0.078435659408569,Y
72d95cb4-5a34-44cf-a0fc-ad23950bd53f,3,4.2424430847168,0.044469118118286,0.078867912292481,Y
b4faea78-cee6-487d-867a-44a76a97049d,3,4.92811369895935,0.0433189868927,0.072471857070923,Y
adb1db5f-10f0-4fce-992b-9b03674d1e4b,3,4.11775970458984,0.074591636657715,0.077102184295654,Y
3a48db5c-6899-4758-a734-a96f724ffd16,3,4.04634141921997,0.047084331512451,0.101625919342041,Y
3b0e357d-5e20-4fed-968b-454bec964627,3,4.10602521896362,0.046868801116943,0.09122633934021,Y
79ad4c60-1b48-42a1-98b2-0b99ccd941ea,3,4.15999364852905,0.046408891677857,0.067085266113281,N
15ef8d32-9df3-426e-8ecb-a57f09802177,3,4.10591626167297,0.043147563934326,0.081815958023071,Y
69091375-571b-4860-88f3-b9b44337b5d7,3,4.33941054344177,0.045321941375733,0.075684309005737,Y
b5b65c3d-b84d-46f7-8eda-7d71e0a23b7d,3,13.1595475673676,0.060780286788941,0.080470085144043,N
5a7cbc4c-b11a-47a5-bf3c-5b15f5585f14,3,15.7635319232941,0.060105085372925,0.103001117706299,Y
